"","variables","ML1"
"1","tm",37.3369386154072
"2","opp",76.3564859818846
"3","mp",13.6802496145024
"4","fg",-0.918626555334795
"5","fga",32.9235498094521
"6","fg_percent",-21.0166240312632
"7","three_fg",-15.5085603829957
"8","three_fga",-2.05747528597513
"9","three_fg_percent",-21.0135849183261
"10","ft",-8.34110525988083
"11","fta",-2.9520651596557
"12","ft_percent",-21.0105701162957
"13","orb",-13.8241126275315
"14","trb",5.1486088688373
"15","ast",-12.5960766534058
"16","stl",-17.6806349536215
"17","blk",-21.040373143162
"18","tov",-5.46204837751981
"19","pf",-1.99211474126995
____________________________
"","variables","ML3"
"1","tm",63.5836255728955
"2","opp",-6.89015440480417
"3","mp",7.02069963667998
"4","fg",10.082864673877
"5","fga",29.1452365918803
"6","fg_percent",-19.2246573206842
"7","three_fg",-9.74818195023087
"8","three_fga",2.91020363599451
"9","three_fg_percent",-19.228963944425
"10","ft",-4.54518016803515
"11","fta",0.566405093992875
"12","ft_percent",-19.233742010001
"13","orb",-5.87569785358932
"14","trb",21.8679403965962
"15","ast",0.500090176172137
"16","stl",-11.0637044904087
"17","blk",-13.6428951601232
"18","tov",-14.8676580864512
"19","pf",-11.334600382034
____________________________
"","variables","ML2"
"1","tm",-4.53865426401703
"2","opp",-14.0693445519561
"3","mp",-5.57926485654346
"4","fg",-6.13063252995659
"5","fga",-19.3033116738745
"6","fg_percent",2.94392201102674
"7","three_fg",-5.10353661447876
"8","three_fga",-18.5487237130868
"9","three_fg_percent",2.93894351817581
"10","ft",21.6604430162174
"11","fta",29.364426608272
"12","ft_percent",2.94424406619476
"13","orb",3.5714218022683
"14","trb",2.47701963059565
"15","ast",-2.51098283090375
"16","stl",1.79659218674501
"17","blk",3.81642037563871
"18","tov",2.49026625346127
"19","pf",1.80488029355323
____________________________
